bin,dotnet_core,module
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\WCA.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\WFC.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\WinMDExp.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\WinRes.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\wsdl.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\xsd.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\xsltc.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\al.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\CorFlags.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\FUSLOGVW.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\gacutil.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\ildasm.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\PEVerify.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\sn.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\feedback.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\InstallCleanup.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\Microsoft.VisualStudio.Setup.ToastNotification.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\VSInstallerElevationService.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installer.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installer.windows.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installershell.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_layout.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe,True,mscoree.dll
